country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
ESP,discards,8C-9A,3T,SRK,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,SRK,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SRK,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,SRJ,NONE,O10T15M,2015,
ESP,discards,8C-9A,BEAM,SRI,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,SRG,NONE,NONE,2015,
FRA,discards,8C-9A,PEL_TRAWL,SRG,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SRG,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SRG,NONE,NONE,2015,
ESP,discards,8C-9A,GILL,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,DEM_SEINE,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SRG,NONE,NONE,2015,
FRA,discards,8C-9A,3C,SRG,NONE,O15M,2015,
ESP,discards,8C-9A,3C,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,SRG,NONE,NONE,2015,
ESP,discards,8C-9A,3B,SRG,NONE,O15M,2015,
FRA,discards,8C-9A,3B,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SRG,NONE,NONE,2015,
ESP,discards,8C-9A,3A,SRG,NONE,O15M,2015,
ESP,discards,8C-9A,3A,SRG,NONE,NONE,2015,
ESP,discards,8C-9A,3T,SRB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SRB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,SQZ,NONE,O15M,2015,
ESP,discards,8C-9A,3A,SQZ,NONE,NONE,2015,
ESP,discards,8C-9A,3A,SQY,NONE,O15M,2015,
ESP,discards,8C-9A,POTS,SQU,NONE,O10T15M,2015,
FRA,discards,8C-9A,PEL_TRAWL,SQU,NONE,O15M,2015,
FRA,discards,8C-9A,PEL_SEINE,SQU,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SQU,NONE,O10T15M,2015,
